,State,County,TotalPopEst2015,TotalPopEst2016,TotalPopEst2017,TotalPopEst2018,TotalPopEst2019,AveragePop2015to2019
286,CO,Larimer,333303,338984,344084,350660,356899,344786.0
287,CO,Las Animas,14043,14073,14201,14508,14506,14266.2
288,CO,Lincoln,5543,5551,5523,5606,5701,5584.8
289,CO,Logan,22472,22435,22317,22268,22409,22380.2
290,CO,Mesa,148025,149736,151170,152951,154210,151218.4
291,CO,Mineral,744,756,753,772,769,758.8
292,CO,Moffat,12939,13144,13088,13183,13283,13127.4
293,CO,Montezuma,25716,25994,26112,26152,26183,26031.4
294,CO,Montrose,40562,41151,41753,42206,42758,41686.0
295,CO,Morgan,28252,28199,28295,28769,29068,28516.6
296,CO,Otero,18182,18266,18345,18338,18278,18281.8
297,CO,Ouray,4608,4789,4813,4822,4952,4796.8
298,CO,Park,16726,17343,17894,18525,18845,17866.6
299,CO,Phillips,4327,4280,4288,4285,4265,4289.0
300,CO,Pitkin,17940,17975,17973,17976,17767,17926.2
301,CO,Prowers,11936,11926,11998,12079,12172,12022.2
302,CO,Pueblo,163006,164774,166283,167422,168424,165981.8
303,CO,Rio Blanco,6478,6436,6352,6330,6324,6384.0
304,CO,Rio Grande,11352,11337,11297,11271,11267,11304.8
305,CO,Routt,24360,24682,25171,25507,25638,25071.6
306,CO,Saguache,6253,6412,6633,6840,6824,6592.4
307,CO,San Juan,689,691,712,764,728,716.8
308,CO,San Miguel,7836,8017,8034,8180,8179,8049.2
309,CO,Sedgwick,2373,2400,2311,2276,2248,2321.6
310,CO,Summit,30045,30552,30820,30817,31011,30649.0
311,CO,Teller,23388,24058,24674,25113,25388,24524.2
312,CO,Washington,4786,4834,4921,4888,4908,4867.4
313,CO,Weld,285819,295712,305885,314815,324492,305344.6
314,CO,Yuma,10037,10055,9959,9947,10019,10003.4
315,CT,Connecticut,3587122,3578141,3573297,3571520,3565287,3575073.4
316,CT,Fairfield,944943,944347,943038,943971,943332,943926.2
317,CT,Hartford,896290,894141,893076,892580,891720,893561.4
318,CT,Litchfield,184122,182793,181667,181095,180333,182002.0
319,CT,Middlesex,163724,163292,162942,162870,162436,163052.8
320,CT,New Haven,860186,857901,857748,856971,854757,857512.6
321,CT,New London,269636,268403,267419,266285,265206,267389.8
322,CT,Tolland,151734,151162,151009,150689,150721,151063.0
323,CT,Windham,116487,116102,116398,117059,116782,116565.6
324,DE,Delaware,941252,948921,956823,965479,973764,957247.8
325,DE,Kent,173128,174542,176499,178540,180786,176699.0
326,DE,New Castle,553488,555058,555976,557550,558753,556165.0
327,DE,Sussex,214636,219321,224348,229389,234225,224383.8
328,DC,District of Columbia,675400,685815,694906,701547,705749,692683.4
329,DC,District of Columbia,675400,685815,694906,701547,705749,692683.4
330,FL,Florida,20209042,20613477,20963613,21244317,21477737,20901637.2
331,FL,Alachua,259052,263959,266309,268851,269043,265442.8
332,FL,Baker,27355,27884,28254,28353,29210,28211.2
333,FL,Bay,181488,183634,184736,186240,174705,182160.6
334,FL,Bradford,26748,26740,27142,27752,28201,27316.6
335,FL,Brevard,565746,576874,587769,595203,601942,585506.8
336,FL,Broward,1885040,1912583,1934516,1946107,1952778,1926204.8
337,FL,Calhoun,14406,14330,14428,14543,14105,14362.4
338,FL,Charlotte,172382,177671,181522,184849,188910,181066.8
339,FL,Citrus,140287,142804,145415,147682,149657,145169.0
340,FL,Clay,202392,207246,212228,215908,219252,211405.2
341,FL,Collier,356041,365445,372678,378201,384902,371453.4
342,FL,Columbia,68222,69265,69999,70668,71686,69968.0
343,FL,DeSoto,35648,36255,37241,37368,38001,36902.6
344,FL,Dixie,16353,16465,16615,16685,16826,16588.8
345,FL,Duval,910578,926010,937933,948652,957755,936185.6
346,FL,Escambia,309311,311473,313249,315104,318316,313490.6
