,State,County,Latitude,Longitude,TotalVets,MaleVets,FemaleVets,WhiteVets,BlackVets,HispanicVets,OtherRaceVets,LessThanHSVets,HighSchOnlyVets,SomeCollegeVets,CollegeDegreeVets,EmployeedVets,UnemployeedVets
2771,TX,Rusk,31.1693363,-100.0768425,3215,3066,149,2483,526,149,119,330,1089,1199,596,1941,101
2772,TX,Sabine,31.1693363,-100.0768425,1195,1167,27,1057,75,0,62,117,293,513,271,697,251
2773,TX,San Augustine,31.1693363,-100.0768425,753,686,65,548,144,32,27,63,242,198,248,558,66
2774,TX,San Jacinto,31.1693363,-100.0768425,2045,1901,143,1890,67,47,39,155,899,772,218,1591,0
2775,TX,San Patricio,31.1693363,-100.0768425,4280,3959,321,2616,93,1449,277,403,1145,1989,741,3274,137
2776,TX,San Saba,31.1693363,-100.0768425,387,352,34,352,0,24,25,42,167,119,56,297,0
2777,TX,Schleicher,31.1693363,-100.0768425,70,70,0,31,0,38,37,8,14,44,3,70,0
2778,TX,Scurry,31.1693363,-100.0768425,794,769,23,636,4,109,67,103,271,299,118,546,0
2779,TX,Shackelford,31.1693363,-100.0768425,230,200,29,226,1,1,1,26,34,125,43,187,0
2780,TX,Shelby,31.1693363,-100.0768425,1143,1117,25,1005,124,9,12,65,478,421,175,783,131
2781,TX,Sherman,31.1693363,-100.0768425,150,150,0,133,0,16,0,10,64,58,16,120,0
2782,TX,Smith,31.1693363,-100.0768425,11784,10859,924,9439,1536,496,362,560,2312,4918,3992,8443,496
2783,TX,Somervell,31.1693363,-100.0768425,476,476,0,459,0,16,0,42,121,144,166,400,40
2784,TX,Starr,31.1693363,-100.0768425,626,617,9,0,13,611,43,48,245,229,102,457,0
2785,TX,Stephens,31.1693363,-100.0768425,484,421,62,430,22,32,0,61,123,204,93,356,48
2786,TX,Sterling,31.1693363,-100.0768425,38,31,6,28,0,9,0,0,19,19,0,38,0
2787,TX,Stonewall,31.1693363,-100.0768425,101,101,0,97,3,0,0,16,37,45,3,101,0
2788,TX,Sutton,31.1693363,-100.0768425,286,286,0,226,0,52,21,63,84,104,33,286,0
2789,TX,Swisher,31.1693363,-100.0768425,295,293,2,212,17,63,1,9,74,160,50,232,12
2790,TX,Tarrant,31.1693363,-100.0768425,108329,95794,12534,74268,18054,11911,6817,4316,21736,44071,38204,89714,4761
2791,TX,Taylor,31.1693363,-100.0768425,10564,9404,1159,8037,849,1391,874,581,2532,4578,2871,8423,225
2792,TX,Terrell,31.1693363,-100.0768425,74,58,15,22,0,51,51,0,20,53,0,34,0
2793,TX,Terry,31.1693363,-100.0768425,381,380,1,220,73,80,8,56,119,199,4,195,0
2794,TX,Throckmorton,31.1693363,-100.0768425,95,91,3,91,0,3,3,12,48,23,12,95,0
2795,TX,Titus,31.1693363,-100.0768425,1735,1579,154,1381,156,186,78,126,499,742,365,1146,213
2796,TX,Tom Green,31.1693363,-100.0768425,9305,8083,1221,6385,470,2141,645,678,2338,3682,2604,7218,391
2797,TX,Travis,31.1693363,-100.0768425,51361,45599,5761,32871,6329,9982,5029,2513,8782,17910,22155,42168,1859
2798,TX,Trinity,31.1693363,-100.0768425,1536,1465,70,1396,91,30,16,154,583,553,243,920,163
2799,TX,Tyler,31.1693363,-100.0768425,1736,1629,106,1562,100,20,56,260,467,697,310,1063,123
2800,TX,Upshur,31.1693363,-100.0768425,2695,2493,201,2395,181,69,71,128,747,1296,523,1967,36
2801,TX,Upton,31.1693363,-100.0768425,176,176,0,74,16,84,75,46,48,69,11,167,0
2802,TX,Uvalde,31.1693363,-100.0768425,1548,1466,82,627,19,817,138,312,355,546,333,1301,82
2803,TX,Val Verde,31.1693363,-100.0768425,2925,2523,401,1356,217,1329,58,231,546,1307,838,2594,69
2804,TX,Van Zandt,31.1693363,-100.0768425,3725,3523,202,3433,87,131,83,386,1010,1719,608,2609,328
2805,TX,Victoria,31.1693363,-100.0768425,5629,5238,390,3738,244,1546,213,358,1654,2448,1166,4683,140
2806,TX,Walker,31.1693363,-100.0768425,4939,4674,265,3710,956,233,47,229,1676,1917,1115,2499,96
2807,TX,Waller,31.1693363,-100.0768425,1828,1621,206,1282,221,271,55,64,399,784,578,1545,7
2808,TX,Ward,31.1693363,-100.0768425,517,511,4,313,59,143,8,25,140,238,114,431,17
2809,TX,Washington,31.1693363,-100.0768425,2139,1975,163,1575,319,141,130,234,641,610,653,1708,376
2810,TX,Webb,31.1693363,-100.0768425,4910,4543,367,902,60,3957,174,458,1000,2129,1321,4125,204
2811,TX,Wharton,31.1693363,-100.0768425,1836,1676,159,1259,276,299,12,334,474,675,352,1257,233
2812,TX,Wheeler,31.1693363,-100.0768425,256,246,10,220,10,11,15,39,79,83,55,190,40
2813,TX,Wichita,31.1693363,-100.0768425,11085,9650,1434,8539,922,1315,668,374,2527,4750,3432,8276,261
2814,TX,Wilbarger,31.1693363,-100.0768425,690,662,26,478,77,128,37,75,247,271,95,392,0
2815,TX,Willacy,31.1693363,-100.0768425,581,581,0,212,0,368,13,99,222,187,71,389,30
2816,TX,Williamson,31.1693363,-100.0768425,34924,30855,4068,25428,2842,5317,2121,784,6055,13998,14085,29616,1691
2817,TX,Wilson,31.1693363,-100.0768425,4588,3909,678,3101,131,1210,271,358,933,1758,1538,3456,180
2818,TX,Winkler,31.1693363,-100.0768425,303,233,69,169,26,99,45,24,142,96,39,220,20
2819,TX,Wise,31.1693363,-100.0768425,4823,4409,412,4319,88,259,213,409,1534,1880,998,3691,357
2820,TX,Wood,31.1693363,-100.0768425,4153,3965,188,3844,141,131,99,307,1276,1579,989,2463,287
2821,TX,Yoakum,31.1693363,-100.0768425,158,129,28,94,14,16,36,36,44,74,2,72,0
2822,TX,Young,31.1693363,-100.0768425,1208,1127,80,1136,32,28,22,126,308,453,319,810,0
2823,TX,Zapata,31.1693363,-100.0768425,408,311,96,30,0,345,60,33,192,148,32,357,0
2824,TX,Zavala,31.1693363,-100.0768425,383,374,9,102,0,254,52,52,146,130,53,153,0
2825,UT,Utah,39.4997605,-111.547028,120447,112029,8417,107209,2335,6680,6547,4628,24939,48265,42612,97823,4594
2826,UT,Beaver,39.4997605,-111.547028,327,311,16,324,0,3,3,28,59,153,86,171,0
2827,UT,Box Elder,39.4997605,-111.547028,2347,2274,72,2192,6,87,120,122,503,1058,662,1799,187
2828,UT,Cache,39.4997605,-111.547028,3341,3048,292,3217,14,42,101,107,713,1180,1339,2708,28
2829,UT,Carbon,39.4997605,-111.547028,1139,1064,75,1013,0,122,19,91,282,579,183,820,227
2830,UT,Daggett,39.4997605,-111.547028,22,22,0,22,0,0,0,0,14,3,3,22,0
2831,UT,Davis,39.4997605,-111.547028,17441,15940,1501,15181,622,1053,919,467,2895,6694,7383,14240,403
2832,UT,Duchesne,39.4997605,-111.547028,812,760,50,723,33,27,28,53,240,330,188,627,6
2833,UT,Emery,39.4997605,-111.547028,521,467,53,489,0,30,0,15,168,248,88,449,0
2834,UT,Garfield,39.4997605,-111.547028,392,371,19,370,0,15,6,15,152,144,78,281,0
2835,UT,Grand,39.4997605,-111.547028,559,523,35,559,0,0,0,35,71,272,178,426,41
2836,UT,Iron,39.4997605,-111.547028,2756,2556,198,2461,7,124,211,76,452,1287,939,1863,525
2837,UT,Juab,39.4997605,-111.547028,415,372,42,402,0,0,11,11,132,191,81,278,0
2838,UT,Kane,39.4997605,-111.547028,590,547,42,518,0,0,71,49,77,317,145,573,0
2839,UT,Millard,39.4997605,-111.547028,671,661,8,646,0,15,24,27,239,264,140,523,14
2840,UT,Morgan,39.4997605,-111.547028,523,523,0,499,0,9,14,13,69,133,307,473,0
2841,UT,Piute,39.4997605,-111.547028,98,98,0,98,0,0,0,21,12,52,11,0,-97
2842,UT,Rich,39.4997605,-111.547028,134,129,4,129,0,4,0,0,41,61,31,22,0
2843,UT,Salt Lake,39.4997605,-111.547028,39339,36624,2714,34028,1068,2587,2831,1710,8779,15491,13358,32353,1457
2844,UT,San Juan,39.4997605,-111.547028,558,510,46,347,5,26,180,31,196,199,132,424,55
2845,UT,Sanpete,39.4997605,-111.547028,1198,1132,65,1178,0,10,9,42,252,536,366,835,122
2846,UT,Sevier,39.4997605,-111.547028,1112,1029,81,1069,0,16,25,68,395,414,232,635,10
2847,UT,Summit,39.4997605,-111.547028,1386,1297,87,1293,0,50,44,10,153,312,910,1252,22
2848,UT,Tooele,39.4997605,-111.547028,3506,3108,397,3020,74,324,158,125,1074,1615,689,3070,105
2849,UT,Uintah,39.4997605,-111.547028,1359,1301,58,1234,0,75,62,172,455,518,212,1036,173
2850,UT,Utah,39.4997605,-111.547028,14296,13382,913,13165,36,641,678,369,2241,5647,6037,11993,445
2851,UT,Wasatch,39.4997605,-111.547028,1019,953,66,988,0,29,6,22,178,271,547,930,0
2852,UT,Washington,39.4997605,-111.547028,10725,10270,454,10252,74,200,199,373,2008,4420,3922,7880,602
