State,County,AveragePop2015to2019,TotalVets,MaleVets,FemaleVets,WhiteVets,BlackVets,HispanicVets,OtherRaceVets,LessThanHSVets,HighSchOnlyVets,SomeCollegeVets,CollegeDegreeVets,EmployeedVets,UnemployeedVets
CA,Ventura,847263.4,39781,36873,2908,27531,1544,7581,4772,1559,6112,17282,14826,32150,1492
CA,Yolo,217351.8,7678,7100,577,5329,266,1227,1271,413,1283,2655,3325,6111,275
CA,Yuba,76360,5882,5083,798,4348,311,616,805,364,1300,2980,1236,4589,424
CO,Adams,504108.4,26796,24681,2114,19698,1230,4771,2337,1406,7003,11450,6935,22126,782
CO,Alamosa,16107.2,791,740,50,518,0,215,107,25,243,264,257,566,21
CO,Arapahoe,644559.8,39149,34732,4416,29106,4971,3176,2975,1133,6754,14757,16503,33067,1570
CO,Archuleta,13253.2,1254,1126,127,1071,6,115,150,6,221,484,541,770,162
CO,Baca,3560.8,223,207,15,192,0,0,30,14,79,76,52,86,0
CO,Bent,5786.8,427,397,29,329,2,73,40,44,208,119,54,152,23
CO,Boulder,322510,13779,12642,1136,12234,151,948,674,591,1757,4455,6974,10910,720
CO,Broomfield,67886.2,4168,3865,302,3480,78,398,277,66,650,1447,2003,3517,208
CO,Chaffee,19557,1760,1623,135,1554,37,151,90,115,521,542,579,992,129
CO,Cheyenne,1844,106,96,9,98,0,4,2,9,37,49,9,43,0
CO,Clear Creek,9495,634,603,30,596,0,27,11,9,92,214,317,506,0
CO,Conejos,8128,544,496,48,222,0,297,83,29,156,168,189,431,11
CO,Costilla,3744.8,406,397,8,158,13,191,74,76,135,123,69,246,0
CO,Crowley,5754.2,439,421,17,307,61,67,22,14,224,163,36,187,0
CO,Custer,4776.2,717,658,58,650,0,50,36,15,121,304,276,411,0
CO,Delta,30564.8,3037,2858,178,2883,13,65,74,201,1088,925,821,1301,107
CO,Denver,705576.2,29379,26375,3003,19692,3925,4246,2787,1536,5801,9848,12191,22562,1510
CO,Dolores,2039.4,184,171,12,172,0,11,0,11,88,44,39,169,0
CO,Douglas,336040.6,20172,18047,2124,17752,533,1085,1000,364,1972,6874,10960,18016,573
CO,Eagle,54681,2007,1830,176,1716,40,203,82,35,235,718,1017,1800,0
CO,Elbert,25716.8,2399,2161,237,2143,26,170,107,30,439,1215,714,1927,92
CO,El Paso,698973.8,84343,71626,12716,64253,7583,8268,7033,1749,13221,33393,35977,66802,3414
CO,Fremont,47320.8,5437,5049,387,4819,257,304,120,318,1940,2174,1003,2794,213
CO,Garfield,59055.4,2748,2541,206,2390,1,244,179,97,808,1028,813,2157,153
CO,Gilpin,6018.4,732,601,130,602,0,81,51,6,118,321,285,581,50
CO,Grand,15302.8,1181,1157,24,1112,0,50,29,24,173,273,708,994,17
CO,Gunnison,16802,793,680,112,661,0,46,83,0,133,276,383,562,62
CO,Hinsdale,794.2,68,64,3,60,0,7,0,0,11,30,24,63,0
CO,Huerfano,6679.2,867,744,122,547,4,269,101,41,155,506,162,631,0
CO,Jackson,1374.6,153,144,8,135,0,17,0,8,38,79,26,153,0
CO,Jefferson,574798.2,37469,34064,3405,32756,529,3192,1819,1184,7531,13992,14760,30968,1419
CO,Kiowa,1375.2,69,69,0,69,0,0,0,0,12,33,24,59,4
CO,Kit Carson,7446.8,486,408,77,445,0,27,12,19,215,180,71,415,0
CO,Lake,7751,487,487,0,398,0,17,70,13,95,216,161,479,27
CO,La Plata,55617.2,3291,3097,194,2898,0,266,170,92,731,1135,1331,2588,52
CO,Larimer,344786,20741,18972,1768,18618,233,1478,696,500,4304,7306,8629,16291,944
CO,Las Animas,14266.2,1239,1139,99,747,10,446,142,125,254,599,258,623,39
CO,Lincoln,5584.8,378,371,5,307,52,10,12,46,164,125,43,145,52
CO,Logan,22380.2,1828,1725,102,1426,10,289,112,102,647,757,320,1547,21
CO,Mesa,151218.4,11645,10839,805,10405,132,885,388,638,3089,4258,3658,8998,427
CO,Mineral,758.8,79,72,6,74,0,3,3,2,2,29,43,44,0
CO,Moffat,13127.4,770,733,35,662,0,60,45,20,349,257,142,540,0
CO,Montezuma,26031.4,2197,1961,235,2000,30,120,76,120,493,816,766,1495,0
CO,Montrose,41686,3403,3044,358,3162,0,124,133,187,1093,1272,849,2558,230
CO,Morgan,28516.6,1269,1222,45,996,2,242,145,127,490,427,222,1140,22
CO,Otero,18281.8,1262,1108,153,904,0,300,133,116,451,512,181,882,15
CO,Ouray,4796.8,488,452,35,472,0,10,6,11,82,205,187,352,21
CO,Park,17866.6,1550,1451,98,1476,0,33,56,10,369,679,489,1255,22
CO,Phillips,4289,257,228,28,257,0,0,0,13,64,127,51,159,0
CO,Pitkin,17926.2,731,714,16,627,36,67,54,26,101,144,456,688,81
CO,Prowers,12022.2,667,624,43,454,8,156,45,42,232,235,156,408,33
CO,Pueblo,165981.8,13883,12447,1435,8874,375,4244,1729,710,3477,6632,3062,8901,792
CO,Rio Blanco,6384,525,490,33,438,0,63,37,65,99,184,175,382,0
CO,Rio Grande,11304.8,590,551,39,453,0,130,16,62,158,195,173,411,0
CO,Routt,25071.6,1267,1150,116,1246,7,14,0,14,256,377,619,1176,13
CO,Saguache,6592.4,473,473,0,360,0,91,32,8,218,158,87,316,92
CO,San Juan,716.8,62,53,8,62,0,0,0,0,10,17,34,62,0
CO,San Miguel,8049.2,324,286,37,291,0,9,22,3,41,116,163,300,0
CO,Sedgwick,2321.6,185,163,21,154,14,9,11,9,47,86,41,111,0
CO,Summit,30649,1265,1223,40,1068,10,27,156,0,167,358,740,1240,0
CO,Teller,24524.2,3274,2870,403,2942,63,113,154,41,599,1190,1443,2606,327
CO,Washington,4867.4,353,327,26,347,0,6,0,21,135,162,32,261,0
CO,Weld,305344.6,16070,14750,1319,13384,173,2002,897,1050,4275,6508,4235,13423,390
CO,Yuma,10003.4,525,441,84,468,0,6,56,16,209,232,66,290,101
CT,Fairfield,943926.2,31387,29480,1906,25638,2650,2671,1311,1963,7909,7965,13548,26166,1533
CT,Hartford,893561.4,38427,36081,2346,31609,3458,2628,1934,2582,11428,12131,12284,30045,1815
CT,Litchfield,182002,11384,10576,806,10552,167,499,254,726,4093,3747,2816,9581,272
