,State,County
1259,MI,Alcona
1260,MI,Alger
1261,MI,Allegan
1262,MI,Alpena
1263,MI,Antrim
1264,MI,Arenac
1265,MI,Baraga
1266,MI,Barry
1267,MI,Bay
1268,MI,Benzie
1269,MI,Berrien
1270,MI,Branch
1271,MI,Calhoun
1272,MI,Cass
1273,MI,Charlevoix
1274,MI,Cheboygan
1275,MI,Chippewa
1276,MI,Clare
1277,MI,Clinton
1278,MI,Crawford
1279,MI,Delta
1280,MI,Dickinson
1281,MI,Eaton
1282,MI,Emmet
1283,MI,Genesee
1284,MI,Gladwin
1285,MI,Gogebic
1286,MI,Grand Traverse
1287,MI,Gratiot
1288,MI,Hillsdale
1289,MI,Houghton
1290,MI,Huron
1291,MI,Ingham
1292,MI,Ionia
1293,MI,Iosco
1294,MI,Iron
1295,MI,Isabella
1296,MI,Jackson
1297,MI,Kalamazoo
1298,MI,Kalkaska
1299,MI,Kent
1300,MI,Keweenaw
1301,MI,Lake
1302,MI,Lapeer
1303,MI,Leelanau
1304,MI,Lenawee
1305,MI,Livingston
1306,MI,Luce
1307,MI,Mackinac
1308,MI,Macomb
1309,MI,Manistee
1310,MI,Marquette
1311,MI,Mason
1312,MI,Mecosta
1313,MI,Menominee
1314,MI,Midland
1315,MI,Missaukee
1316,MI,Monroe
1317,MI,Montcalm
1318,MI,Montmorency
1319,MI,Muskegon
1320,MI,Newaygo
1321,MI,Oakland
1322,MI,Oceana
1323,MI,Ogemaw
1324,MI,Ontonagon
1325,MI,Osceola
1326,MI,Oscoda
1327,MI,Otsego
1328,MI,Ottawa
1329,MI,Presque Isle
1330,MI,Roscommon
1331,MI,Saginaw
1332,MI,St. Clair
1333,MI,St. Joseph
1334,MI,Sanilac
1335,MI,Schoolcraft
1336,MI,Shiawassee
1337,MI,Tuscola
